PHODA;Archaeplastida;Liliopsida;commelinids;Arecales;Arecaceae;Phoenix dactylifera;42345
PHYHE;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Phyllostachys heterocycla;38705
PHYPAV33;Archaeplastida;Bryopsida;Funariidae;Funariales;Funariaceae;Physcomitrella patens;3218
PICAB;Archaeplastida;Acrogymnospermae;Coniferophyta;Pinales;Pinaceae;Picea abies;3329
PICGL;Archaeplastida;Acrogymnospermae;Coniferophyta;Pinales;Pinaceae;Picea glauca;3330
PINTA;Archaeplastida;Acrogymnospermae;Coniferophyta;Pinales;Pinaceae;Pinus taeda;3352
POPTR;Archaeplastida;eudicots;rosids;Malpighiales;Salicaceae;Populus trichocarpa;3694
PORCRtr;Archaeplastida;Rhodophyta;Bangiophyceae;Porphyridiales;Porphyridiaceae;Porphyridium cruentum;2891951
PORPU;Archaeplastida;Rhodophyta;Bangiophyceae;Porphyridiales;Porphyridiaceae;Porphyridium purpureum;35688
PORUM;Archaeplastida;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Porphyra umbilicalis;2786
PRACO;Archaeplastida;Chlorophyta;Palmophyllophyceae;Prasinococcales;Prasinococcaceae;Prasinoderma coloniale;0
PRUMU;Archaeplastida;eudicots;rosids;Rosales;Rosaceae;Prunus mume;102107
PRUPE;Archaeplastida;eudicots;rosids;Rosales;Rosaceae;Prunus persica;3760
PTEAQpt;Archaeplastida;Moniliformopses;Polypodiidae;Polypodiales;Dennstaedtiaceae;Pteridium aquilinum;32101
PYRBR;Archaeplastida;eudicots;rosids;Rosales;Rosaceae;Pyrus bretschneideri;225117
PYRCO;Archaeplastida;eudicots;rosids;Rosales;Rosaceae;Pyrus communis;23211
PYRGR;Fungi;Ascomycota;saccharomyceta;Magnaporthales;Magnaporthaceae;Magnaporthe grisea;148305
PYRYE;Archaeplastida;Rhodophyta;Bangiophyceae;Bangiales;Bangiaceae;Pyropia yezoensis;0
RAPRA;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Raphanus raphanistrum;109996
RAPSA;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Raphanus sativus;3726
RICCO;Archaeplastida;eudicots;rosids;Malpighiales;Euphorbiaceae;Ricinus communis;3988
SALCUhc;Archaeplastida;Moniliformopses;Polypodiidae;Salviniales;Salviniaceae;Salvinia cucullata;32188
SALPU;Archaeplastida;eudicots;rosids;Malpighiales;Salicaceae;Salix purpurea;77065
SELMO;Archaeplastida;Lycopodiidae;Lycopodiales;Selaginellales;Selaginellaceae;Selaginella moellendorffii;88036
SETIT;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Setaria italica;4555
SETVI;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Setaria viridis;4556
SISIR;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Sisymbrium irio;3730
SOLLY;Archaeplastida;eudicots;asterids;Solanales;Solanaceae;Solanum lycopersicum;4081
SOLME;Archaeplastida;eudicots;asterids;Solanales;Solanaceae;Solanum melongena;4111
SOLPE;Archaeplastida;eudicots;asterids;Solanales;Solanaceae;Solanum pennellii;28526
SOLTU;Archaeplastida;eudicots;asterids;Solanales;Solanaceae;Solanum tuberosum;4113
SORBI;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Sorghum bicolor;4558
SPHFA;Archaeplastida;Bryopsida;Sphagnopsida;Sphagnales;Sphagnaceae;Sphagnum fallax;53036
